Name,Latitude,Longitude
"Grady Avenue, Charlottesville, VA, USA",38.038237,-78.490864
"Charlottesville, VA, USA",38.036141,-78.482369
"Fontaine Avenue, Charlottesville, VA, USA",38.025922,-78.516934
"Prospect Avenue, Charlottesville, VA, USA",38.022488,-78.496007
"West Main Street, Charlottesville, VA, USA",38.030494,-78.485833
"5th Street Southwest, Charlottesville, VA, USA",38.025325,-78.489667
"Elliott Avenue, Charlottesville, VA, USA",38.021253,-78.481403
"Emmet Street North, Charlottesville, VA, USA",38.052669,-78.499068
"Meridian Street, Charlottesville, VA, USA",38.019979,-78.478085
"Charlottesville, VA, USA",38.036141,-78.482369
"Meade Avenue, Charlottesville, VA, USA",38.025179,-78.467654
"3rd Street Northeast, Charlottesville, VA, USA",38.032172,-78.479127
"Lewis Street, Charlottesville, VA, USA",38.026139,-78.51647
"11th Street Northwest, Charlottesville, VA, USA",38.037935,-78.494056
"Charlottesville, VA, USA",38.036141,-78.482369
"12 1/2 Street Northwest, Charlottesville, VA, USA",38.033776,-78.497338
"Pine Street, Charlottesville, VA, USA",38.026924,-78.494566
"14th Street Northwest, Charlottesville, VA, USA",38.038177,-78.497431
"Charlottesville, VA, USA",38.036141,-78.482369
"Wertland Street, Charlottesville, VA, USA",38.034447,-78.497013
"Lee Street, Charlottesville, VA, USA",38.031972,-78.498789
"Hardy Drive, Charlottesville, VA, USA",38.033684,-78.491986
"Charlottesville, VA, USA",38.036141,-78.482369
"Nalle Street, Charlottesville, VA, USA",38.029882,-78.493217
"Preston Avenue, Charlottesville, VA, USA",38.037756,-78.489639
"4th Street Northwest, Charlottesville, VA, USA",38.032621,-78.485797
"St Annes Road, Charlottesville, VA, USA",38.057767,-78.482508
"Montebello Circle, Charlottesville, VA, USA",38.029863,-78.509937
"Ridge Street, Charlottesville, VA, USA",38.030426,-78.485196
"Charlottesville, VA, USA",38.036141,-78.482369
"15th Street Northwest, Charlottesville, VA, USA",38.038049,-78.498575
"East Main Street, Charlottesville, VA, USA",38.030107,-78.479354
"6th Street Southeast, Charlottesville, VA, USA",38.022429,-78.482625
"Sunrise Park Lane, Charlottesville, VA, USA",38.020769,-78.467025
"Arlington Boulevard, Charlottesville, VA, USA",38.049779,-78.50676
"Virginia, USA",37.73086,-78.376655
"Charlottesville, VA, USA",38.036141,-78.482369
